Species Name,Type,Source,Range ,COSEWICID
Acanthascus cf. platei,Endemics,NatureServe,Yes,NA
Achillea millefolium var. megacephala,Endemics,NatureServe,Yes,NA
Adiantum aleuticum var. subpumilum,Endemics,NatureServe,Yes,NA
Aegolius acadicus brooksi,Endemics,NatureServe,Yes,NA
Agabus margaretae,Endemics,NatureServe,Yes,NA
Agrotis arenarius,Endemics,NatureServe,Yes,NA
Amelanchier fernaldii,Endemics,NatureServe,Yes,NA
Animomyia hardwicki,Endemics,NatureServe,Yes,NA
Antennaria pulcherrima ssp. eucosma,Endemics,NatureServe,Yes,NA
Apamea sordens sableana,Endemics,NatureServe,Yes,NA
Apantesis yukona,Endemics,NatureServe,Yes,NA
Apatania alberta,Endemics,NatureServe,Yes,NA
Arctia brachyptera,Endemics,NatureServe,Yes,NA
Arctogeophilus insularis,Endemics,NatureServe,Yes,NA
Areniscythris sp. 1,Endemics,NatureServe,Yes,NA
Armeria maritima ssp. interior,Endemics,NatureServe,Yes,NA
Arnica griscomii ssp. griscomii,Endemics,NatureServe,Yes,NA
Arnica louiseana,Endemics,NatureServe,Yes,NA
Artemisia woodii,Endemics,NatureServe,Yes,NA
Astragalus robbinsii var. fernaldii,Endemics,NatureServe,Yes,NA
Athysanella resusca,Endemics,NatureServe,Yes,NA
Atriplex glabriuscula var. franktonii,Endemics,NatureServe,Yes,NA
Baetis persecutor,Endemics,NatureServe,Yes,NA
Bison bison athabascae,Endemics,NatureServe,Yes,NA
Boechera quebecensis,Endemics,NatureServe,Yes,NA
Boloria eunomia nichollae,Endemics,NatureServe,Yes,NA
Boloria natazhati nabokovi,Endemics,NatureServe,Yes,NA
Boloria selene terraenovae,Endemics,NatureServe,Yes,NA
Bolshecapnia gregsoni,Endemics,NatureServe,Yes,NA
Bolshecapnia rogozera,Endemics,NatureServe,Yes,NA
Botrychium pseudopinnatum,Endemics,NatureServe,Yes,NA
Braya fernaldii,Endemics,NatureServe,Yes,NA
Braya glabella ssp. prostrata,Endemics,NatureServe,Yes,NA
Braya humilis ssp. ellesmerensis,Endemics,NatureServe,Yes,NA
Braya humilis ssp. maccallae,Endemics,NatureServe,Yes,NA
Braya humilis ssp. porsildii,Endemics,NatureServe,Yes,NA
Braya longii,Endemics,NatureServe,Yes,NA
Braya pilosa,Endemics,NatureServe,Yes,NA
Bruneria yukonensis,Endemics,NatureServe,Yes,NA
Caenis candida,Endemics,NatureServe,Yes,NA
Canis sp. cf. lycaon,Endemics,NatureServe,Yes,NA
Carex deweyana var. collectanea,Endemics,NatureServe,Yes,NA
Carex viridula var. saxilittoralis,Endemics,NatureServe,Yes,NA
Cassiope lycopodioides ssp. cristapilosa,Endemics,NatureServe,Yes,NA
Castilleja miniata var. fulva,Endemics,NatureServe,Yes,NA
Castilleja purpurascens,Endemics,NatureServe,Yes,NA
Cephaloziella brinkmanii,Endemics,NatureServe,Yes,NA
Cerastium terrae-novae,Endemics,NatureServe,Yes,NA
Cercyonis oetus phocus,Endemics,NatureServe,Yes,NA
Cercyonis oetus ssp. 1,Endemics,NatureServe,Yes,NA
Ceutorhynchus convexipennis,Endemics,NatureServe,Yes,NA
Chelis lafontainei,Endemics,NatureServe,Yes,NA
Chionodes mikkolai,Endemics,NatureServe,Yes,NA
Cicindela hirticollis athabascensis,Endemics,NatureServe,Yes,NA
Cicindela limbata hyperborea,Endemics,NatureServe,Yes,NA
Cicindela repanda novascotiae,Endemics,NatureServe,Yes,NA
Cicuta maculata var. victorinii,Endemics,NatureServe,Yes,NA
Claytonia ogilviensis,Endemics,NatureServe,Yes,NA
Cochlearia tridactylites,Endemics,NatureServe,Yes,NA
Coenonympha nipisiquit,Endemics,NatureServe,Yes,NA
Colias johanseni,Endemics,NatureServe,Yes,NA
Colias rankinensis,Endemics,NatureServe,Yes,NA
Colias tyche boothii,Endemics,NatureServe,Yes,NA
Collema coniophilum,Endemics,NatureServe,Yes,NA
Coregonus huntsmani,Endemics,NatureServe,Yes,NA
Corispermum hookeri var. hookeri,Endemics,NatureServe,Yes,NA
Cortinarius grosmorneënsis,Endemics,NatureServe,Yes,NA
Crataegus aquacervensis,Endemics,NatureServe,Yes,NA
Crataegus atrovirens,Endemics,NatureServe,Yes,NA
Crataegus chrysocarpa var. vernonensis,Endemics,NatureServe,Yes,NA
Crataegus enderbyensis,Endemics,NatureServe,Yes,NA
Crataegus orbicularis,Endemics,NatureServe,Yes,NA
Crataegus purpurella,Endemics,NatureServe,Yes,NA
Crataegus rivuloadamensis,Endemics,NatureServe,Yes,NA
Crataegus rivulopugnensis,Endemics,NatureServe,Yes,NA
Crataegus rubribracteolata,Endemics,NatureServe,Yes,NA
Crataegus sheila-phippsiae var. saskatchewanensis,Endemics,NatureServe,Yes,NA
Crataegus sheila-phippsiae var. sheila-phippsiae,Endemics,NatureServe,Yes,NA
Crataegus shuswapensis,Endemics,NatureServe,Yes,NA
Crossocalyx tenuis,Endemics,NatureServe,Yes,NA
Cyanocitta stelleri carlottae,Endemics,NatureServe,Yes,NA
Cybaeus sinuosus,Endemics,NatureServe,Yes,NA
Deschampsia mackenzieana,Endemics,NatureServe,Yes,NA
Dicrostonyx hudsonius,Endemics,NatureServe,Yes,NA
Dicrostonyx nunatakensis,Endemics,NatureServe,Yes,NA
Dodia tarandus,Endemics,NatureServe,Yes,NA
Dodia verticalis,Endemics,NatureServe,Yes,NA
Draba bruce-bennettii,Endemics,NatureServe,Yes,NA
Draba caswellii,Endemics,NatureServe,Yes,NA
Draba cayouettei,Endemics,NatureServe,Yes,NA
Draba franktonii,Endemics,NatureServe,Yes,NA
Draba kluanei,Endemics,NatureServe,Yes,NA
Draba puvirnituqii,Endemics,NatureServe,Yes,NA
Draba pycnosperma,Endemics,NatureServe,Yes,NA
Draba scotteri,Endemics,NatureServe,Yes,NA
Draba simmonsii,Endemics,NatureServe,Yes,NA
Draba yukonensis,Endemics,NatureServe,Yes,NA
Dryobates villosus picoideus,Endemics,NatureServe,Yes,NA
Dulichium arundinaceum var. boreale,Endemics,NatureServe,Yes,NA
Efferia okanagana,Endemics,NatureServe,Yes,NA
Elachista cicadella,Endemics,NatureServe,Yes,NA
Enemion savilei,Endemics,NatureServe,Yes,NA
Epilobium ciliatum var. ecomosum,Endemics,NatureServe,Yes,NA
Erigeron philadelphicus var. glaber,Endemics,NatureServe,Yes,NA
Erigeron trifidus,Endemics,NatureServe,Yes,NA
Euchalcia borealis,Endemics,NatureServe,Yes,NA
Eucosma sableana,Endemics,NatureServe,Yes,NA
